unit,price,image_url,supplier,contact,resource_type,name,description,location,certified,availability,id,created_date,updated_date,created_by_id,created_by,is_sample
"kg","4.5","","Uganda Seed Ltd (NASECO)","+256 414 286 960","seed","Longe 5H Hybrid Maize Seed","High-yielding hybrid maize seed, drought-tolerant, suitable for Uganda's bimodal rainfall","Kampala / Gulu Depots","true","in_stock","6a03b3977750f5459e86069b","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"kg","1.2","","Yara East Africa Uganda","uganda@yara.com","fertilizer","DAP Fertilizer (18-46-0)","Diammonium Phosphate for basal application on maize, coffee, and vegetables","Kampala, Jinja, Mbarara","true","in_stock","6a03b3977750f5459e86069c","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"liter","18","","Agro Ways Uganda","+256 772 501 234","pesticide","Dimethoate EC 40% (Coffee Berry Borer)","Insecticide for coffee berry borer and aphid control on Robusta coffee","Masaka, Kampala","false","in_stock","6a03b3977750f5459e86069d","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"unit","180","","Mukono Metalworks Ltd","+256 782 003 412","machinery","Ox-Drawn Plough (Mould Board)","2-furrow ox plough for smallholder land preparation, locally fabricated","Mukono District","false","in_stock","6a03b3977750f5459e86069e","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"hectare","85","","Agri-Mechanization Services Uganda","ams@agrimech.ug","machinery","Tractor Hire Service (4WD, 75HP)","Land preparation, ploughing and harrowing service per hectare in Northern Uganda","Gulu, Lira, Kitgum Districts","true","limited","6a03b3977750f5459e86069f","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"unit","3200","","Dairy Industry Solutions Uganda","sales@dairysolutions.ug","equipment","Milk Chilling Tank (500L)","Stainless steel bulk milk cooler for village milk collection points","Mbarara / Kampala","true","pre_order","6a03b3977750f5459e8606a0","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"visit","15","","MAAIF Extension Officers","info@maaif.go.ug","service","Veterinary Extension Services","Animal health check-up, vaccination (FMD, ECF, Brucellosis), and deworming for cattle and goats","Nationwide — District Vet Offices","true","in_stock","6a03b3977750f5459e8606a1","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"kit","120","","Agri-Diagnostics Uganda","+256 700 889 002","technology","Mobile Soil Testing Kit (NPK + pH)","Rapid field soil testing kit with 50 tests per kit, includes advisory chart","Kampala HQ + Field Agents","true","in_stock","6a03b3977750f5459e8606a2","2026-05-12T23:11:19.420000","2026-05-12T23:11:19.420000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"kg","4.5","","Victoria Seeds Uganda","+256-414-258140","seed","Longe 10H Hybrid Maize Seed","High-yielding drought-tolerant hybrid maize","Kampala","true","in_stock","69291ba7b38cba0a34ce50c8","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"kg","35","","Syngenta Uganda","+256-772-300004","pesticide","Ridomil Gold","Fungicide for potato blight control","Kampala","true","in_stock","69291ba7b38cba0a34ce50cc","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"50kg bag","45","","Grain Pulse Ltd","+256-772-300003","fertilizer","Urea 46%N","Nitrogen fertilizer for top-dressing","Kampala","true","in_stock","69291ba7b38cba0a34ce50cb","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"unit","3500","","AgroTech Solutions","+256-772-100014","machinery","Two-Wheel Tractor","15HP walking tractor with rotavator","Kampala","false","in_stock","69291ba7b38cba0a34ce50ce","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"sample","50","","Chemiphar Uganda","+256-414-342922","service","Soil Testing Service","Complete soil analysis and recommendations","Kampala","true","in_stock","69291ba7b38cba0a34ce50d1","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"unit","1200","","AgroTech Solutions","+256-772-100014","machinery","Maize Sheller","Motorized maize sheller 500kg/hr","Kampala","false","in_stock","69291ba7b38cba0a34ce50cf","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"cutting","0.15","","NaCRRI Namulonge","+256-414-573016","seed","NASE 14 Cassava Cuttings","Disease-resistant cassava variety","Wakiso","true","in_stock","69291ba7b38cba0a34ce50c9","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"unit","45","","Balton Uganda","+256-312-261975","equipment","Knapsack Sprayer 16L","Manual backpack sprayer","Kampala","false","in_stock","69291ba7b38cba0a34ce50d0","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"kit","850","","Amiran Uganda","+256-414-236166","technology","Drip Irrigation Kit","Complete drip system for 1 acre","Kampala","true","in_stock","69291ba7b38cba0a34ce50d3","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"liter","28","","Balton Uganda","+256-312-261975","pesticide","Dursban","Insecticide for coffee stem borers","Kampala","true","limited","69291ba7b38cba0a34ce50cd","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"50kg bag","55","","Balton Uganda","+256-312-261975","fertilizer","DAP Fertilizer","Di-ammonium phosphate 18-46-0","Kampala","true","in_stock","69291ba7b38cba0a34ce50ca","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"acre","80","","Farm Mechanization Services","+256-772-300011","service","Tractor Hire - Ploughing","Tractor ploughing service per acre","Central Uganda","false","in_stock","69291ba7b38cba0a34ce50d2","2025-11-28T03:48:55.759000","2025-11-28T03:48:55.759000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
