delivery_date,price_per_kg,quality_requirements,market_segment,crop_type,buyer_name,location,contact_info,quantity_needed,status,certifications_required,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026-11-30","3.8","Grade 1, moisture < 12.5%, screen size 15+","export","Robusta Coffee (Green Beans)","Uganda Coffee Development Authority","Kampala Export Terminal","ucda@coffeexport.ug","50000","open","[""Organic"",""RainForest Alliance""]","6a03b3977750f5459e860693","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-08-15","0.45","Mature, no bruising, bunches 8-12 fingers","regional","Matooke (Banana Bunches)","Nakasero Market Traders Assoc.","Nakasero Market, Kampala","+256 712 334 567","30000","open","[]","6a03b3977750f5459e860694","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-10-01","180","Grade A, min 16cm, moisture 25-38%, vanillin >1.6%","export","Vanilla Beans (Cured)","Aust-Lav Vanilla Ltd","Entebbe Cargo Airport","sourcing@austlav.com","2000","open","[""Organic"",""Fair Trade""]","6a03b3977750f5459e860695","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-07-31","0.38","Aflatoxin < 10ppb, moisture < 13%, well-dried","national","Maize Grain","National Food Reserve Agency","Gulu Grain Storage Facility","nfra@foodsecurity.go.ug","500000","open","[]","6a03b3977750f5459e860696","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-06-30","0.55","TBC < 200,000/ml, fat > 3.5%, collected twice daily","local","Fresh Milk (Whole)","Pearl Dairy Farms Ltd","Mbarara Dairy Collection Centre","milk@pearldairy.ug","10000","open","[]","6a03b3977750f5459e860697","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-06-15","3.2","Live weight 2.0-2.5kg, 42-day-old birds, healthy","local","Live Broiler Chickens","Kampala City Abattoir","Kampala Abattoir, Wankulukuku","+256 701 445 233","5000","open","[]","6a03b3977750f5459e860698","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-09-01","2.1","Min 250g, fresh-chilled, no parasites, HACCP compliant","national","Nile Tilapia (Fresh)","Victoria Fish Processors","Entebbe Fish Landing Site","fish@victoriaprocessors.ug","20000","open","[""ASC""]","6a03b3977750f5459e860699","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2026-12-01","0.62","High Quality Cassava Flour, moisture <12%, white colour","national","Cassava Flour (HQCF)","Ugabread Millers Ltd","Lira Milling Factory","procurement@ugabread.com","100000","open","[]","6a03b3977750f5459e86069a","2026-05-12T23:11:19.137000","2026-05-12T23:11:19.137000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-01-30","1.2","K132, sorted, clean","regional","Beans","Kenya Export Traders","Malaba Border","+256-772-200003","25000","open","[]","69291ba7b38cba0a34ce50c0","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-01-31","1.5","Aflatoxin <10ppb","national","Groundnuts","Nutri Foods Uganda","Kampala","+256-772-200009","30000","open","[]","69291ba7b38cba0a34ce50c6","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-01-15","1.1","Oil content >40%","national","Sunflower Seeds","Mukwano Industries","Lira","+256-312-260260","80000","open","[]","69291ba7b38cba0a34ce50c1","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-02-28","1.8","Milled, 5% broken max","national","Rice","Tilda Uganda","Kampala","+256-772-200010","40000","open","[]","69291ba7b38cba0a34ce50c7","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-07-01","350","Grade A, cured, 25%+ vanillin","export","Vanilla","European Flavor Houses","Entebbe Airport","+256-772-200008","500","open","[""Organic""]","69291ba7b38cba0a34ce50c5","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2024-12-20","0.6","Medium size, no blemishes","local","Irish Potatoes","Capital Shoppers Supermarket","Kampala","+256-414-567890","5000","open","[]","69291ba7b38cba0a34ce50c3","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-03-01","4.5","Screen 18, moisture <12%","export","Robusta Coffee","UCDA Export Hub","Kampala","+256-414-256940","50000","open","[""UTZ""]","69291ba7b38cba0a34ce50be","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2024-12-15","0.45","Green, mature bunches","local","Matooke Bananas","Kampala City Traders","Kampala","+256-772-200007","20000","open","[]","69291ba7b38cba0a34ce50c4","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
"2025-02-15","0.85","Grade 1, moisture <13.5%","national","Maize","World Food Programme Uganda","Kampala","+256-417-231231","100000","open","[]","69291ba7b38cba0a34ce50bf","2025-11-28T03:48:55.741000","2025-11-28T03:48:55.741000","691b3a64d194b41d0403daa6","lule.mariam@gmail.com","false"
